Breed
Affenpinscher
Afghan Hound
Airedale Terrier
Akita
Alaskan Malamute
Anatolian Shepherd Dog
Australian Shepherd
Australian Terrier
Azawakh
Barbet
Basenji
Basset Bleu de Gascogne
Basset Fauve de Bretagne
Basset Hound
Beagle
Bearded Collie
Beauceron
Bedlington Terrier
Belgian Shepherd
Bergamasco
Bernese Mountain Dog
Bichon Frise
Bloodhound
Border Collie
Border Terrier
Borzoi
Boston Terrier
Boxer
Bracco Italiano
Braque d’Auvergne
Briard
Bulldog
Bullmastiff
Bull Terrier
Cairn Terrier
Cavalier King Charles Spaniel
Cesky Terrier
Chesapeake Bay Retriever
Chihuahua
Chinese Crested
Chow Chow
Clumber Spaniel
Cocker Spaniel
Collie
Curly Coated Retriever
Dachshund
Dalmatian
Dandie Dinmont Terrier
Deerhound
Dobermann
Dogue de Bordeaux
English Foxhound
English Setter
English Toy Terrier
Entlebucher Mountain Dog
Eurasier
Flat Coated Retriever
French Bulldog
German Shepherd Dog
German Shorthaired Pointer
German Spitz
German Wirehaired Pointer
Giant Schnauzer
Glen of Imaal Terrier
Golden Retriever
Gordon Setter
Great Dane
Great Swiss Mountain Dog
Griffon Bruxellois
Griffon Fauve de Bretagne
Greyhound
Havanese
Hungarian Puli
Hungarian Vizsla
Hungarian Wirehaired Vizsla
Ibizan Hound
Icelandic Sheepdog
Irish Red and White Setter
Irish Setter
Irish Terrier
Irish Wolfhound
Italian Greyhound
Italian Spinone
Jack Russell Terrier
Japanese Akita Inu
Japanese Chin
Japanese Shiba Inu
Keeshond
Kerry Blue Terrier
King Charles Spaniel
Komondor
Korean Jindo
Korthals Griffon
Labrador Retriever
Lagotto Romagnolo
Lakeland Terrier
Lancashire Heeler
Large Munsterlander
Leonberger
Lhasa Apso
Lowchen
Maltese
Manchester Terrier
Maremma Sheepdog
Mastiff
Miniature Bull Terrier
Miniature Pinscher
Miniature Schnauzer
Neapolitan Mastiff
Newfoundland
Norfolk Terrier
Norwegian Buhund
Norwegian Elkhound
Norwich Terrier
Nova Scotia Duck Tolling Retriever
Old English Sheepdog
Otterhound
Papillon
Parson Russell Terrier
Pekingese
Pharaoh Hound
Picardy Sheepdog
Pointer
Polish Lowland Sheepdog
Pomeranian
Poodle
Portuguese Pointer
Portuguese Water Dog
Pug
Pyrenean Mountain Dog
Pyrenean Sheepdog
Rhodesian Ridgeback
Rottweiler
Russian Toy
Saluki
Samoyed
Schipperke
Schnauzer
Scottish Terrier
Sealyham Terrier
Shar Pei
Shetland Sheepdog
Shih Tzu
Siberian Husky
Skye Terrier
Slovakian Rough Haired Pointer
Sloughi
Soft Coated Wheaten Terrier
Spanish Water Dog
St Bernard
Staffordshire Bull Terrier
Sussex Spaniel
Swedish Lapphund
Tibetan Mastiff
Tibetan Spaniel
Tibetan Terrier
Weimaraner
Welsh Corgi
Welsh Springer Spaniel
Welsh Terrier
West Highland White Terrier
Whippet
White Swiss Shepherd Dog
Xoloitzcuintle
Yorkshire Terrier
Other / Crossbreed
Aussiedoodle
Beabull
Beagleman
Beaglier
Bernedoodle
Bichon Frise × Shih Tzu (Shichon / Zuchon)
Bocker
Bordoodle
Borador
Bossipoo
Boxador
Boxerdoodle
Bullador
Bullmatian
Cavachon
Cavador
Cavapoo
Cavapoochon
Chiweenie
Chorkie
Cockapoo
Corgidor
Dalmadoodle
Daug
Doberdoodle
Frenchton
Frug
Gerberian Shepsky
Goldador
Goldendoodle
Golden Mountain Dog
Havapoo
Huskador
Jackapoo
Jug
Labrabull
Labradoodle
Labsky
Lhasapoo
Maltipoo
Maltichon
Maltese × Shih Tzu (Malshi)
Mini Goldendoodle
Morkie
Newfypoo
Peekapoo
Pitsky
Poogle
Pomapoo
Pomchi
Pomsky
Poochon
Pugapoo
Puggle
Rottle
Saint Berdoodle
Schnoodle
Sheepadoodle
Shollie
Shorkie
Springador
Sprocker
Staffy Bull Pug
Yorkipoo
